,가수,노래 제목,노래 가사
195,한동근,기념일,어느덧 시간이 흘러서 사진 속 우리 모습들이 이제는 한 장의 기억이 그리운 날들이 되어 있네 그동안 정말 많은 일들을 너와 함께 할 수 있어서 언제나 곁에 있어 줘서 내 힘이 돼줘서 고마워 솔직히 가끔씩 네 기분이 뭔지 왜 갑자기 무섭게 화내는지 모르겠지만 그래도 너 그럴 때면 어떻게 해야 하는지는 알잖아 앞으로 우리 화도 줄이고 전보다 더 뜨겁게 지내자 남은 날 후회 되지 않도록 행복하도록 웃자 사랑해 술 되면 사라지는 그 버릇 이제 곧 나을 거라 믿을게 네 마음은 내 들판이니까 내 세상이니까 기억해 나보다 나은 사람 많이 봤겠지 네 주변에 꼬이는 남자분들 봐왔었지만 장담할게 나만큼 널 꽉 안아줄 놈은 없을걸 앞으로 여기저기 다니며 사진도 전보다 많이 찍자 남은 날 후회 되지 않도록 행복하도록 Love You 사랑해 앞으로 뭐가 어찌 될는지 아직은 다 알 수 없지만 우리 딱 지금 이대로만 지지고 볶아도 사랑만 하도록 또 아픈 만큼 더 안아줄게 내가 널 위해 뭐든지 돼 줄게 혼자 가는 쓸쓸한 이 세상 어둡지 않도록 곁에 있을게 곁에 있을게 오늘을 축하해
196,김양,사랑은 늘 도망가,눈물이 난다 이 길을 걸으면 그 사람 손길이 자꾸 생각이 난다 붙잡지 못하고 가슴만 떨었지 내 아름답던 사람아 사랑이란게 참 쓰린 거더라 잡으려 할수록 더 멀어 지더라 이별이란게 참 쉬운 거더라 내 잊지 못할 사람아 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을텐데 바람이 분다 옷깃을 세워도 차가운 이별의 눈물이 차올라 잊지 못해서 가슴에 사무친 내 소중했던 사람아 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을텐데 기다림도 애태움도 다 버려야하는데 무얼 찾아 이 길을 서성일까 무얼 찾아 여기인가 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을텐데 잠시 쉬어가면 좋을텐데
197,장희원,새벽,찬 새벽을 걷다 보면 생각나는 사랑이 하나 있어 슬픔은 점점 옅어지고 그 사랑은 더 선명해져 인생은 이별과 만남의 반복 흘러 흘러 가게 두면 되는 걸 알면서 또다시 슬픔과 기쁨의 반복 흘러 흘러 가게 두면 나아 질까 긴 어둠이 지나가고 떠오르는 태양을 바라보며 푸른빛은 점점 옅어지고 내 사랑은 더 선명해져 우린 새벽에 머물러 있구나 나아지기 위해 걷고 있구나 우린 새벽에 머물러 있구나 나아지기 위해 걸어가고 살아가고 인생은 이별과 만남의 반복 흘러 흘러 가게 두면 되는 걸 알면서 또다시 슬픔과 기쁨의 반복 흘러 흘러 가게 두면 나아 질까 언젠가 밤이 다시 내게 와도 흘러 흘러 가게 두면 되는 걸 알아
198,이석훈,우리가 우리가 아닌 지금,오늘 우리는 요즘 우리는 예전과 다른 매일을 살고 있어 돌아가는 거 쉽지 않단 걸 잘 알아 다 알아 서로 다른 하루 보내고 지쳐돌아보면 널 잊고 있었던 널 지워버렸던 내 오늘이 처음과 같을 수 있을까 그때로 돌아간다면 우린 그대롤까 혹시 돌아갈 수 있다면 지금 우리보다 그때의 우릴 느끼고 싶어 맞아 우리는 언제부턴가 예전과 다른 매일을 맞고 있어 익숙해져야 알게 된 지금 우리 둘 우리 둘 서로 다른 하루 보내고 지쳐돌아보면 무뎌져버렸던 널 당연시했던 내 오늘이 처음과 같을 수 있을까 그때로 돌아간다면 우린 그대롤까 혹시 돌아갈 수 있다면 지금 우리보다 그때의 우릴 느끼고 싶어 처음과 같을 수 있을까 그때로 돌아간다면 우린 그대롤까 혹시 돌아갈 수 있다면 지금 우리보다 그때의 우릴 느끼고 싶어 오늘 우리에게
199,태민 (TAEMIN),I'm Crying (Korean Ver.),가라앉은 정적 속 텅 비어버린 방에 울리는 심장소리 외로움으로 애타게 노래하듯 우는 창 밖의 이 빗소리 이젠 너는 없다고 너는 없다고 맘을 달래 보지만 여전한 네 잔상을 쫓아야 하는 걸 Ah 차가운 빗속에서 젖어 떨던 너의 그 조그맣던 어깨에 닿았던 그 날이 내겐 아직 어제의 일인 것 같은데 I’m crying I’m crying I’m crying cause I miss you 너의 눈동자는 이젠 나를 보지 않잖아 유리처럼 투명히 통과 시킬 뿐이잖아 Ah 제발 부탁이니까 내게 돌아와 차라리 내 곁에서 날 힘들게 해줘 내가 널 포기할 수 있게 네 맘 속엔 멎는 법을 잊은 듯 내리던 비 너의 우산이 되지 못한 부족했었던 나 그치지 않는 비를 향한 노래 사랑한다고 네 눈물을 알면서도 모른 척 무심히 외면했던 순간도 내 멋대로 혼자 그린 미래만을 향해 달려가던 마음도 이젠 오직 너만이 오직 너만이 내가 원한 모든 것 이제서야 알 것 같아 난 너의 마음을 Ah 아득히 번져가는 당연했던 우리 늘 따스하게 왼 손을 채워주던 온기 아직 내 가슴이 널 기억하잖아 I’m trying I’m trying I’m trying to forget you 모든 기억들을 가슴에 담아두고 싶어 젖은 머리카락의 향기 살짝 스쳐갈 때 Ah 제발 부탁이니까 한 번이라도 너의 손을 잡고 다시 걷게 된다면 달라진 날 맹세 할 텐데 어느 새 내 맘에도 멈추지 않는 빗소리 영원하게만 느껴지는 너 없는 시간도 그치지 않는 비를 향한 노래 사랑한다고 너도 어딘가에서 같은 하늘을 보겠지 마치 네 사랑을 닮은 듯 따뜻한 비가 내려 와 슬픈 맘도 후회도 모두 천천히 흘려 보내줘 I’m crying I’m crying I’m crying cause I’m missing you 이런 내 맘속에 내리는 비 언젠가는 멈출 거야 그때 너의 눈동자는 지금 어딜 향해 있는지 유리처럼 투명한 그 눈빛도 여전한지 Ah 제발 부탁이니까 내게 돌아와 차라리 내 곁에서 날 힘들게 해줘 내가 널 포기할 수 있게 네 맘 속엔 멎는 법을 잊은 듯 내리던 비 너의 우산이 되지 못한 부족했었던 나 그치지 않는 비를 향한 노래 사랑한다고
200,포레스텔라(Forestella),함께라는 이유,한걸음 또 한걸음이 좀 서툴러서 매일 괜찮을까 잘할까 걱정만 하던 날들 별거 아닌 고민들로 어둠이 드리웠을 때 낮은 목소리 날 달래던 내 맘의 멜로디 시간은 나를 홀로 서게 해 좁고 먼 듯한 그 길 위에 겁도 없이 처음 내딛는 시작의 발걸음 좋아 이 길 끝이 어딜지 거친 오르막인지 대답도 없는 먼 곳을 향해 걸어갈 거야 좋아 꽤 먼 길을 걸었을까 얼마나 가면 닿을까 굽이굽이 돌아가지만 뭐 어때 이대로 이젠 나만을 바라보는 소중하고 빛나는 시간 울고 또 웃는 친구와 나란히 이 길을 좋아 함께라는 이유로 두렵지 않다는 건 눈물 날 만큼 힘이 되는 걸 네가 있다면 말야 느려도 좋아 우리라는 그 이유만으로 좋아 이 길 끝에 서있는 고마운 사람들과 지나온 얘기 못 다한 얘기 나누고 싶어 함께라는 이유로 두렵지 않다는 건 눈이 부시는 먼 곳을 향해 걸어갈 거야 좋아
201,지아,누군가의 무엇이 되어,그저 스쳐가는 인연은 아니길 너에게는 너에게만 난 내 눈이 가는 곳 내 손이 닿는 곳 그 곳에 있어주길 더 늦지 않게 더 이런 내게 머물러주길 나는 너에게 사랑이 되어 너는 나에게 내일이 되어 누구보다도 너를 무엇보다도 나를 전부라고 말할 수 있길 아직도 내 맘을 다 가리고 있어 보여줄 수는 없어 더 늦지 않게 더 이 맘 부디 헤아려주길 나는 너에게 사랑이 되어 너는 나에게 내일이 되어 누구보다도 너를 무엇보다도 나를 전부라고 말할 수 있길 하루의 끝과 시작은 늘 다시 너라서 단지 너라서 스물네 시간을 꿈꾸는 듯 해 너를 만나서 내가 나였어 그러고 나서 니가 다 였어 언제까지나 너를 어디까지나 나를 사랑이라 부를 수 있길
202,"먼데이 키즈 (Monday Kiz), 김보경 (NEON)",이별선물,미안해 많이 지루했겠다 매일 늦는 널 탓하다 그만 내가 늦었네 아침 일찍 일어나 얼마나 바빴는지 예쁘게 화장을 다 하고 머리도 만졌어 괜찮니 나 오늘 어때 어색하지만 봐 줄만 하니 늘 청바지 편하게만 입던 난데 옷장 속을 온 종일 뒤졌어 우리 이별 하는 날 보여주고 싶었어 두 번 다시 못 볼 테니까 하얀 원피스 구둘 신은 네가 바래왔던 그 모습 이게 마지막 선물 멋지게 차려 입길 잘했다 눈부시게 예쁜 너와 조금은 어울리게 몰랐어 가장 행복한 날 떠올리며 상상했던 모습으로 이별하게 될 줄 너 힘들지 않게 내가 더 모질게 더 차갑게 말해야 할 텐데 그래야 할 텐데 우리 이별하는 날 뭔가 잘못됐나 봐 자꾸 맘과 반대로 말을 하래 슬퍼도 절대 울지 말고 잡고 싶어도 보내주래 이게 아닌데 어떡해야 해 Oh 입술을 꼭 깨물고 하늘을 올려보다 웃으며 다시 너를 본다 이별이 힘들지 않도록 마지막이 아름답도록 행복 해야 해 부디 안녕
203,이민혁,"이 밤, 꿈꾸는 듯한",달빛에 물든 여름밤 내 품에 안긴 널 말없이 바라봐 널 눈에 담는 순간들 모두 긴 꿈을 꾸는 것 같단 말야 밤이 오면 별을 바라봤었어 이제 고갤 돌리면 네가 음 날 비추고 있어 이 밤 꿈꾸는 듯한 서로를 바라보는 눈 환하게 웃는 너 어둔 세상을 비춰줄 그대라는 별빛 어떤 단어를 고를까 영원 같은 네게 건네줄 마음들 가물었던 내 세상이 너를 만져볼 때 문득 봄을 느껴 아마 네겐 닿지 못할 혼잣말 너와 함께 맞는 아침이 사랑 사랑인 것 같아 이 밤 꿈꾸는 듯한 서로를 바라보는 눈 환하게 웃는 너 어둔 세상을 비춰준 그대라는 별빛 이 밤 꿈꾸는 듯한 매일 이대로 한참을 널 바라보다가 네 손을 잡고서 Good Night
204,양요섭,매듭,사랑이 너무 무거워 서로 짐이 되어 내려놓을 수밖에 없던 서러웠던 그 기억은 끊어지지 않네 지친 마음을 묶고 있네 그대라는 오랜 매듭이 가슴 속 깊이 남아서 아무것도 풀지 못하고 있지만 날이 지날수록 더 헝클어지는 생각은 버릴 수가 없어 그대여 가느다란 미련만을 손에 움켜쥐고 떠밀려오듯 지낸 날들 실낱같은 희망의 끈 더욱 꼬여가네 지친 마음을 파고드네 그대라는 오랜 매듭이 가슴 속 깊이 남아서 아무것도 풀지 못하고 있지만 날이 지날수록 더 헝클어지는 생각은 버릴 수가 없어 그대여 되감을 수 없는 일들을 되감으려고 해봐도 예전처럼 되지 않는 걸 알지만 부질없는 사랑 그대와 나눈 약속을 맺지도 끊지도 못한 나 엉켜버린 시간 속에서 날이 지날수록 더 헝클어지는 생각은 버릴 수가 없어 그대여 놓을 수가 없는 그대
205,조성모,잘가요... 내 사랑...,그죠 날 떠나실거죠 한번쯤 날 위해 솔직해줘요 가라시면 갈텐데 왜 애써 숨겼나요 아직 난 너무도 힘드네요 그 모든 사연을 잊어 내기엔 그대는 떠나도 사랑만은 남을 줄 알았는데 허무한 바램인가요 가세요 이제 편히 그댈 보내 드릴께요 함께한 정도 미련도 다 두고 가세요 세월가면 그대 잠시라도 문득 날 그리워하며 눈물질텐데 내가 언제라도 그대 몫까지 아파줄께요 그대 편히 갈수있게  그죠 날 사랑한거죠 거짓말이라도 듣고 싶네요 마지막 부탁인데 그 대답 어렵나요 아직 난 너무도 아프네요 웃으며 이별을 맞아주기엔 사랑이 떠나도 그리움은 남을 줄 알았는데 그 마저 떠나 가네요 가세요 이제 편히 그댈 보내 드릴께요 함께한 정도 미련도 다 두고 가세요 세월가면 그대 잠시라도 문득 날 그리워하면 눈물질텐데 내가 언제라도 그대 몫까지 아파줄께요 그대 편히 갈수 있게  잘가세요 멀리 가더라도 행복하게 살아줘요 잘가요 내사랑.....
206,장혜진,하늘을 가리고,비바람에 몸을 맡기던 불안했던 나에게 넌 한 줄기 햇살 어둠속에 꽃이 피 듯이 가슴속에 내 사랑이 자라나지만 사랑은 안녕 눈물은 안녕 널 위해 곁에서 멀어져 줄게 내가 있으면 니 웃음이 사라져 너의 뒤에 선 나의 앞에서 그 누구보다 더 행복해 줄래 내 품속에 있을 때 보다 수 천번의 해와 달 지고 하늘 별이 사라지면 날 잊어줄래 할 수 없는 일이라지만 내 두 손이 저 하늘을 가려볼테니 사랑은 안녕 눈물은 안녕 널 위해 곁에서 멀어져 줄게 내가 있으면 니 웃음이 사라져 너의 뒤에 선 나의 앞에서 그 누구보다 더 행복해 줄래 내 품속에 있을 때 보다 못 버린 버릇처럼 바보처럼 잊지 못 하고 널 찾을지 몰라 하지만 걱정마 그때 난 잠시만 너를 바라보다 뒤돌아 갈게  추억이 남아 기억이 남아 울어도 웃을 수 있는 거니까 내 걱정은 하지 않아도 괜찮아 너의 뒤에 선 나의 앞에서 그 누구보다 더 행복해 줄래 내 품속에 있을 때 보다 사랑도 눈물도 이제 다 안녕
207,백지영,봄비,사랑은 봄비처럼 다가와 촉촉하게 날 흠뻑 적신다 얼어붙어 있던 내 가슴을 소리도 없이 녹이며 날 깨운다 달다 아련한 느낌 설레이는 맘 지금까지 난 알지 못했던 사랑인가 봐 사랑은 처음처럼 날 다시 태어날 수 있게 만든다 비가 내린다 오늘도 또 내일도 너를 닮은 비가 내려 온다 달다 아련한 느낌 감춰왔던 맘 사랑을 알고 느낄 수 있음에 나 너에게 정말 감사해 사랑은 처음처럼 날 다시 태어날 수 있게 만든다 나는 웃는다 오늘도 또 내일도 그려본다 널 느껴본다 봄비가 내리던 그 날 언제나 네 향기로 가득했던 날 나의 사랑은 그렇게 시간을 거슬러 운명처럼 봄비가 되어 온다
208,거미,You Are My Everything,처음부터 그대였죠 나에게 다가올 한 사람 단 한 번의 스침에도 내 눈빛이 말을 하죠 바람처럼 스쳐가는 인연이 아니길 바래요 바보처럼 먼저 말하지 못했죠 할 수가 없었죠 You Are My Everything 별처럼 쏟아지는 운명에 그대라는 사람을 만나고 멈춰버린 내 가슴속에 단 하나의 사랑 You Are My Everything 안갯속에 피어나는 하얗게 물들은 그대 모습 한순간에 내게 심장이 멈출 듯 다가와 버렸죠 You Are My Everything 별처럼 쏟아지는 운명에 그대라는 사람을 만나고 멈춰버린 내 가슴속에 단 하나의 사랑 You Are My Everything 시작도 못 했던 나의 사랑을 이제는 말할 수 있죠 누구도 가질 수 없는 기적인데 You Are My Everything 뜨거운 내 사랑은 그댄 걸 계절이 변해도 난 이곳에 멈춰버린 내 가슴속에 단 하나의 사랑 You Are My Everything
209,선우정아,순이,널 만나지 않아도 좋아 아니 아예 안 만나는 게 좋겠어 만약 널 코 앞에서 마주치게 되면 내 표정은 무너지게 될거야 Because I'm just out of control 네 눈도 못 쳐다볼 게 뻔한 걸 내 자린 그냥 여기 이렇게 멀찍이 보이지 않는 곳에서 나 는 순 이 순전히 너만을 네가 어디서 무얼하든 이유같은 거 없이 널 좋아하는 이 난 순 이 순순히 너에게 내 시간과 마음을 바쳐 너를 아는 데에 몽땅 써버릴 이 정말 좋아 사실 난 바빠 정말이야 일분일초가 모자라는 workaholic 그런 내가 생판 남인 너 때문에 하고 있는 이 짓들을 봐 Because I'm just out of control 한심하다 해도 이 맘을 어쩔건데 지친 내 일상 속에 유일한 에너지 욕을 먹어도 난 좋아 나 는 순 이 순전히 너만을 네가 어디서 무얼하든 이유같은 거 없이 널 좋아하는 이 난 순 이 순순히 너에게 내 시간과 마음을 바쳐 너를 아는 데에 몽땅 써버릴 이 네가 정말 좋아 어쩔 줄 몰라 나는 네가 정말 좋아 네가 정말 좋아 어쩔 줄 몰라 나는 네가 정말 좋아 망가져도 귀엽게 봐줄게 나쁜 짓만 하지마 많은 걸 바라지는 않을게 손 한 번만 흔들어 줄래 나 는 순 이 순전히 너만을 네가 어디서 무얼하든 이유같은 거 없이 널 좋아하는 이 난 순 이 순순히 너에게 내 시간과 마음을 바쳐 너를 아는 데에 몽땅 써버릴 이 네가 정말 좋아 어쩔 줄 몰라 나는 네가 정말 좋아 네가 정말 좋아 어쩔 줄 몰라 나는 네가 정말 좋아
210,환희,널 사랑했던 계절,지긋했던 여름 그 밤 너로 가득했던 지워지지 않는 밤 숨막힐듯 아름다워 도저히 지워낼 수 없었던 계절의 끝이 오나봐 뜨겁던 가슴 식어내려 조금 쉬워질까 너를 지워내는 일 숨막힐듯 아름다워 도저히 떨쳐낼 수 없었던 너를 다 보낼 수 있을까 모두 한 여름밤의 꿈이었다면 달콤한 찰나의 꿈이었다면 난 불어오는 바람에 이렇게 너를 그리진 않을텐데 너는 어디에 사랑했던 넌 어디에 달리는 계절 속에서 난 아직 너를 여전히 너를 찾아가 내 안의 네게 묻고 또 물어 우리가 사랑했던 여름 그 밤으로 되돌릴 순 없는지 모두 한 여름밤의 꿈이었다면 무심히 웃고 털어낼 꿈이었다면 떠오르는 기억에 무너져 너를 부르진 않을텐데 너는 어디에 사랑했던 넌 어디에 달리는 계절 속에서 난 아직 너를 여전히 너를 찾아가 내 안의 네게 묻고 또 물어 우리가 사랑했던 계절 그 밤 그 미소 다시 볼 순 없는지 다가온 계절 속에서 난 아직 너를 영원히 너를 기다려 너를 사랑해 우리가 사랑했던 계절 그대로
211,이영준,사랑한 후에,아무것도 더는 남기지마 내게 많은걸 너 줬잖아  편히 돌아서도 돼 널 불러세워도 대답하지 마  내가 받은 너의 사랑만큼 모두 돌려주길 했는지  너 없이 너를 위한 그 무엇조차 다 상처가 되겠지만  사랑은 했잖아 날떠나가도 널 또 다시 안아줄수 없다 해도  너 아니면 난 몰랐을 행복과 눈물겨운 추억까지 이대로  끝내 모르는채 서로를 가슴에 남긴채로 멀어져도  내 기억이 멈출때까지 후횐 없어 잊을순없어    너의 슬픔이 난 두려워져 이젠 다가갈순 없잖아  나의 가슴안에 너를 다 지운다면 난 모든걸 잊을텐데  사랑은 했잖아 날떠나가도 널 또 다시 안아줄수 없다 해도  너 아니면 난 몰랐을 행복과 눈물겨운 추억까지 이대로  오직 한 사람을 내가 사랑한 기억속에 살게해줘  이세상이 끝날때까지 그리워할 널 남겨줘서    영원히 혼자도 널 혼자서사랑할 나 니까
212,임창정,이별 후,이별 후 그 시간은 지겹도록 더디고 이별 후 그 마음은 언제나 시리고 해볼 만큼 했었는데도 처음보다 아프다 이별 후의 시간은 지겹도록 더디다 나의 사람아 그리운 사람아 아픔에 남아 그리운 그대여 아쉬움도 서운함도 시간 지나면 혹시 잊혀지고 괜찮아질까 사랑했던 시간은 늘 달콤했었고 사랑했던 기억은 늘 잔인했었고 겪을 만큼 겪었는데도 사랑에 또 빠진다 사랑했던 추억은 늘 달콤했었다 나의 사람아 그리운 사람아 아픔에 남아 그리운 그대여 아쉬움도 서운함도 시간 지나면 혹시 잊혀지고 괜찮아질까 미안하다고 내가 후회한다고 다시 그렇게 말하면 모두 되돌려질까 나의 사람아 그리운 사람아 볼 수 있을까 아름다운 그대 아쉬움도 서운함도 시간 지나면 혹시 잊혀지고 괜찮아질까 나의 사람아 그리운 사람아 아픔에 남아 그리운 그대여 아쉬움도 서운함도 시간 지나면 혹시 잊혀지고 괜찮아질까
213,디오 (D.O.),Si Fueras Mía,Cada día amaneces en mis brazos Te despierto con besitos de amor Qué bueno lo tenemos tú y yo Y te canto las canciones que te gustan Cada letra que yo escribo es para ti Pero yo solo te conozco en mis sueños mi amor  Si solamente fueras mía Los lugares que te llevaría Para verte feliz y verte sonreír No hay nada que no haría Te daría todo el mundo en un segundo Si solo fueras mía  No quiero despertarme de este sueño Eres tú la razón de mi existir En tus ojos me ahogo y no hay salvación  Si solamente fueras mía Los lugares que te llevaría Para verte feliz y verte sonreír No hay nada que no haría Te daría todo el mundo en un segundo Si solo fueras mía  Si solo fueras mía  Si solamente fueras mía Los lugares que te llevaría Para verte feliz y verte sonreír No hay nada que no haría Te daría todo el mundo en un segundo Si solo fueras mía  Los lugares que te llevaría Para verte feliz y verte sonreír No hay nada que no haría Te daría todo el mundo en un segundo Si solo fueras mía
214,"거미, 원슈타인, 이소정, 로시 (Rothy), 시온, 제이유나 (J.UNA)",아로하,어두운 불빛아래 촛불 하나 와인 잔에 담긴 약속하나 항상 너의 곁에서 널 지켜줄거야 날 믿어준 너였잖아 나 바라는 건 오직 하나 영원한 행복을 꿈꾸지만 화려하지 않아도 꿈같진 않아도 너만 있어주면 돼 걱정 마 I believe 언제나 I believe 이 순간을 잊지 않을게 내 품에 I believe 안긴 너의 미소가 영원히 빛을 잃어 가지 않게 Cause your love is so sweet You are my everything 첫날 밤에 단 꿈에 젖어 하는 말이 아냐 난 변하지 않아 오직 너만 바라볼거야 oh You’re light of my life You are the one in my life 내 모든걸 다 잃는데도 후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 약속해 I believe 힘들 땐 I believe 너의 그늘이 되어줄게 내품에 I believe 안긴 너의 미소가 영원히 빛을 잃어 가지 않게 Cause your love is so sweet You are my everything 첫날 밤에 단 꿈에 젖어 하는 말이 아냐 난 변하지 않아 오직 너만 바라볼거야 oh You’re light of my life You are the one in my life 내 모든걸 다 잃는데도 후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 You’re light of my life You are the one in my life 내 모든걸 다 잃는데도 후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 All I ever want is your love
215,어쿠루브,우린 다를줄 알았는데 (Feat. 박민영),하루종일 울리던 내 전화기 소리 어제부터 조용해진 너의 목소리 쌀쌀한 바람처럼 또 떠날 것 같은 너에게 잘가 잘가 말 못해 좋았었나봐 아픈걸보니 웃는 척을 해도 숨겨지지 않는데 사진속에 넌 행복해보여 그땐 그랬어 너와 나 우린 다를줄 알았는데 정말 다를줄 알았는데 그 누구보다 아름다웠었잖아 서롤 사랑한 시간만큼 너무 힘든건가봐 그때로 돌아갈 순 없겠지 배고프지 않아도 계속 뭘 찾게 돼 아마 니가 보고싶은 마음에 자꾸 널 떠올리면 잘가 잘가 말 못해 좋았었나봐 아픈걸 보니 웃는 척을 해도 숨겨지지 않는데 사진속에 너 행복해보여 그땐 그랬어 너와 나 우린 다를줄 알았는데 정말 다를줄 알았는데 그 누구보다 아름다웠었잖아 서롤 사랑한 시간만큼 너무 힘든건가봐 그때로 돌아갈 순 없겠지 너의 달콤했던 목소리가 귓가에 들려 점점더 선명해진 니 모습 우연히 널 보면 그때처럼 웃을 수 있을까 글쎄 난 쉽지 않을 것 같아 우린 다를줄 알았는데 정말 다를줄 알았는데 그 누구보다 아름다웠었잖아 서롤 사랑한 시간만큼 너무 힘든건가봐 그때로 돌아갈 순 없겠지
216,권진아,숨바꼭질,그대는 나를 바라보며 따스히 웃어주네요 그대와 눈이 마주치면 난 어떤 표정인가요 숨길 수 없이 커져버린 내 맘을 혹시 보았나요 그댄 몰라야 해요 내 맘에 들어오지 못하게 그대를 또 저 멀리로 보내고 나는 또 꼭꼭 숨어버리고 또 이렇게 그댈 스치죠 감출 수 없이 붉어진 내 얼굴을 혹시 보았나요 그댄 몰라야 해요 내 맘에 들어오지 못하게 그대를 또 저 멀리로 보내고 나는 또 꼭꼭 숨어버리고 또 이렇게 그댈 스치죠 그대에게 난 편한 사람 나에게 그대는 정말 소중한 사람 마음이 넘쳐서 너무 좋아서 내가 다 망칠 것 같아 날 보며 웃어 주지 말아요 그대 내게 잘해 주지 말아요 손을 내밀면 멀어질까 봐 겁이 나요 도와줘요 오래 곁에 있게
217,휘성 (Realslow),Rain Drop (With G.고릴라),소나기가 내려온다 내 머리위로 갑자기 말도 없이 젖어버리겠네 추억이 흘러 내린다 따라 눈물도 흐른다 바보처럼 집에가는길 아직도 멀기만한데 우산도 없이 감기걸릴것만 같아 이 길이 니가있는 그 곳으로 가는거라면 젖어도 좋은데 oh rain drop oh rain drop 사랑이 참 야속하구나 oh rain drop oh rain drop 사랑은 저 빗방울처럼 나를 차갑게 적셔버리고 다시 그때처럼 아프게하는 감기같은 걸까요  아주 오래전 쓴이별을 얘기하고 뒤돌아 떠나버린 너와함께 예전처럼 이 비속을 다시 걸어갈 수 있다면 얼마나 좋을까 oh rain drop oh rain drop 사랑이 참 야속하구나 oh rain drop oh rain drop 사랑은 저 빗방울처럼 나를 차갑게 적셔 버리고 다시 그때처럼 아프게하는 감기같은 걸까요 쉽게 내처버린 말 야속했던 얘기로 시린 상처 가득한 내 가슴이지만 혹시나 내가 있다면 니안에 내가 있다면 젖은 발로 달려가고만 싶어 oh rain drop oh rain drop 사랑이 참 바보같구나 oh rain drop oh rain drop 사랑은 저 빗방울처럼 나를 차갑게 적셔버리고 다시 그때처럼 아프게 하는 감기같은 걸까요 그런 못된 감기같은 걸까요 내사랑은 아직도 널 그려요
218,기현 (몬스타엑스),한 걸음 더,한 걸음 너에게 다가갈게 이렇게 너만을 바라볼게 혹시 내 모든 걸 잃는데도 후회하지 않을게 사랑해 너에게 이 말밖에 해주고 싶은 말 없는데 너는 아직도 이런 날 모르는데 언제부턴지 나도 정말 잘 모르겠어 아무도 내게 말해주지는 않았어 조금 멀리서 널 바라보고 한발 뒤에서 널 안아주고 이유도 없이 기다리는 게 너를 사랑하나 봐 한 걸음 너에게 다가갈게 이렇게 너만을 바라볼게 혹시 내 모든 걸 잃는데도 후회하지 않을게 사랑해 너에게 이 말밖에 해주고 싶은 말 없는데 너는 아직도 이런 날 모르는데 내가 기다린 사람 너란 걸 이제 알았어 좀 늦었지만 몰랐던 시간 되돌려줄게 너를 사랑하니까 한 걸음 너에게 다가갈게 이렇게 너만을 바라볼게 혹시 내 모든 걸 잃는데도 후회하지 않을게 사랑해 너에게 이 말밖에 해주고 싶은 말 없는데 너는 아직도 이런 날 모르는데 사랑의 이유라는 건 원래 없는 걸 다시 내게 물어봐도 오직 너 뿐이야 한 걸음 내게 다가와줄래 한번 더 나를 바라봐줄래 내가 내 모든 걸 줄 수 있게 니 마음 열어줄래 사랑해 너에게 이 말밖에 해주고 싶은 말 없는데 너는 아직도 이런 날 모르는데
219,김세정,만에 하나,긴 꿈을 꾸다 깨어난 걸까 내가 널 알아본 순간 이름도 없던 내 사랑은 시작된 건지도 몰라 널 알기 전 저 하늘도 늘 이렇게 눈부셨던 걸까 만에 하나 우리 사랑이 된다면 만에 하나 너와 시작될 수 있다면 아껴 왔던 마음과 끝을 모를 사랑을 널 위해 쓸 거야 내 모든 순간을 다 너에게 난 너와 보고 또 너와 듣고 너와 숨 쉬는 모든 게 버릴 거 없이 행복해서 네 옆에 멈추고 싶어 널 알기 전 흐릿했던 내 모든 게 기억나질 않아 만에 하나 우리 사랑이 된다면 만에 하나 너와 시작될 수 있다면 아껴 왔던 마음과 끝을 모를 사랑을 널 위해 쓸 거야 내 모든 순간을 다 너에게 기억해 기억해 이곳에 있을게 영원히 영원히 이렇게 네 곁에 단 하루만 내게 허락된다 해도 단 하루만 너와 사랑할 수 있다면 잊지 못할 오늘과 변치 않을 기억들 내가 가진 사랑을 모두 다 널 위해 쓸 거야 마지막 숨까지 다 너에게
